sensor_id,lat,lon,pressure,temperature,humidity
3472,42.669,23.318,93503.9,26.61,52.48
3512,42.683,23.335,95202.98,20.18,57.91
3102,42.665,23.392,95425.91,25.39,44.08
2262,42.691,23.324,94786.28,28.05,43.69
2266,42.738,23.272,95800.64,26.46,39.44
3512,42.683,23.335,94883.16,25.07,48.27
2228,42.693,23.333,95674.14,19.27,65.62
3296,42.671,23.325,94738.45,35.17,25.82
1850,42.677,23.311,94618.25,29.91,34.97
3436,42.693,23.359,95090.75,24.02,39.76
2040,42.686,23.351,95801.11,16.97,96.84
3500,42.703,23.349,95610.46,23.31,49.93
3642,42.694,23.36,94828.45,42.19,20.67
2040,42.686,23.351,95322.99,27.2,41.39
2224,42.651,23.335,94943.3,31.84,24.82
2036,42.657,23.349,94011.7,23.2,48.67
1846,42.64,23.31,94196.75,19.26,65.03
2230,42.692,23.332,94933.16,24.06,48.69
3836,42.702,23.371,95686.96,15.99,79.6
1764,42.622,23.366,94661.48,27.79,27.79
3102,42.665,23.392,94424.78,17.52,76.81
4358,42.703,23.373,95567.19,30.43,33.32
2234,42.685,23.356,95547.83,19.64,63.83
2323,42.686,23.4,94985.56,24.61,38.89
3096,42.7,23.36,95319.64,30.55,29.17
1962,42.69,23.324,95705.95,17.75,82.44
4477,42.629,23.301,92699.58,19.34,66.99
3438,42.738,23.293,94106.38,34.07,28.68
2036,42.657,23.349,94909.48,20.15,62.54
2262,42.691,23.324,95257.38,22.44,67.29
1764,42.622,23.366,94705.7,20.74,59.66
2266,42.738,23.272,95464.94,23.48,65.93
2040,42.686,23.351,117638.84,-145.12,100.0
3092,42.666,23.284,94989.87,26.62,45.04
2224,42.651,23.335,95260.8,23.99,54.11
3620,42.678,23.254,93714.47,20.45,79.97
3738,42.7,23.332,95637.9,22.87,65.62
3500,42.703,23.349,95714.17,41.48,15.87
3620,42.678,23.254,94738.33,27.0,58.64
2038,42.694,23.32,95771.7,19.15,75.15
3102,42.665,23.392,95622.04,23.98,40.91
1952,42.709,23.398,95946.02,18.93,63.62
3836,42.702,23.371,95278.22,31.08,29.19
1954,42.704,23.354,95321.4,26.73,52.61
1850,42.677,23.311,94708.88,29.14,43.95
3296,42.671,23.325,93806.56,20.62,80.92
3738,42.7,23.332,95118.84,26.8,44.48
3500,42.703,23.349,94989.3,31.26,41.92
1846,42.64,23.31,93459.02,19.17,61.77
2232,42.685,23.301,95029.85,33.09,27.76
2040,42.686,23.351,95356.33,20.04,64.8
2038,42.694,23.32,95207.98,34.86,32.56
3836,42.702,23.371,95236.22,28.96,33.11
3472,42.669,23.318,94870.61,17.08,71.36
2262,42.691,23.324,95089.46,37.79,27.83
2036,42.657,23.349,94875.7,25.02,49.05
2224,42.651,23.335,93882.91,19.56,70.22
3474,42.68,23.293,94961.66,23.99,67.57
3428,42.624,23.406,94770.33,22.62,66.93
3474,42.68,23.293,94504.99,21.09,51.28
2323,42.686,23.4,95732.27,27.49,32.35
1962,42.69,23.324,95296.7,37.71,21.37
2230,42.692,23.332,95482.95,23.73,58.86
4475,42.654,23.316,94961.59,29.36,34.26
3428,42.624,23.406,94767.55,33.76,24.95
2234,42.685,23.356,95664.43,17.5,85.64
3436,42.693,23.359,95518.65,28.35,36.36
1954,42.704,23.354,94482.95,19.43,71.75
2323,42.686,23.4,95847.36,23.89,47.42
1954,42.704,23.354,95464.04,22.34,56.87
2228,42.693,23.333,95411.89,17.97,68.45
3102,42.665,23.392,95066.74,17.72,78.05
2264,42.671,23.31,95038.05,27.09,45.22
3296,42.671,23.325,94638.09,20.86,49.0
3500,42.703,23.349,95461.13,39.83,24.71
1846,42.64,23.31,93606.42,22.23,65.0
2230,42.692,23.332,95404.66,26.58,60.24
3102,42.665,23.392,95714.62,34.9,26.77
2607,42.66,23.319,94322.48,29.25,42.13
2323,42.686,23.4,95393.34,28.46,53.86
3432,42.71,23.419,95736.73,18.05,76.62
3432,42.71,23.419,95825.59,31.6,33.39
1764,42.622,23.366,94336.17,25.39,44.08
2607,42.66,23.319,95070.55,19.22,66.4
2216,42.664,23.373,95365.94,26.51,37.21
3102,42.665,23.392,95348.91,26.97,40.1
2216,42.664,23.373,95161.55,18.25,72.67
2038,42.694,23.32,95481.48,17.04,71.67
3474,42.68,23.293,94883.98,30.89,33.26
4475,42.654,23.316,93434.44,27.53,43.54
3500,42.703,23.349,95286.38,27.71,47.17
2262,42.691,23.324,94784.73,28.21,44.08
2232,42.685,23.301,94565.95,28.27,37.3
3620,42.678,23.254,94764.2,22.3,71.7
2323,42.686,23.4,95596.16,19.65,66.24
2224,42.651,23.335,93773.48,22.3,63.74
1764,42.622,23.366,94364.61,30.58,32.14
2036,42.657,23.349,94948.58,21.02,63.44
3512,42.683,23.335,95131.08,31.22,28.42
3472,42.669,23.318,94750.66,27.1,37.98
3472,42.669,23.318,94085.5,17.76,82.89
1846,42.64,23.31,93413.41,57.57,10.88
2224,42.651,23.335,94787.85,19.09,64.45
3738,42.7,23.332,94927.73,34.58,27.95
3642,42.694,23.36,95297.24,15.9,78.74
2224,42.651,23.335,94695.22,32.33,38.31
3296,42.671,23.325,94643.33,20.89,66.63
2036,42.657,23.349,94471.02,25.06,37.43
1952,42.709,23.398,95383.91,24.75,49.69
3472,42.669,23.318,94604.73,32.23,28.81
2230,42.692,23.332,95619.11,27.88,37.0
1850,42.677,23.311,95461.07,22.4,50.17
2262,42.691,23.324,95081.86,24.29,55.12
3092,42.666,23.284,94885.81,24.73,0.0
1764,42.622,23.366,94531.44,20.03,70.01
3432,42.71,23.419,94724.84,20.74,80.78
2036,42.657,23.349,94965.48,23.52,52.83
3968,42.689,23.357,95133.63,24.39,53.7
3436,42.693,23.359,94937.02,32.11,28.66
3092,42.666,23.284,94898.99,29.04,34.11
1846,42.64,23.31,93579.35,22.81,67.39
1954,42.704,23.354,94997.39,37.63,21.34
2040,42.686,23.351,94123.77,22.88,69.21
3472,42.669,23.318,94502.45,21.76,55.59
2040,42.686,23.351,95703.27,32.05,27.87
3500,42.703,23.349,95236.39,25.58,51.44
2234,42.685,23.356,95415.44,34.28,24.89
2036,42.657,23.349,94967.29,20.68,64.77
2230,42.692,23.332,94929.36,27.47,41.07
3620,42.678,23.254,94438.36,28.9,36.97
2040,42.686,23.351,95833.83,15.67,88.9
1846,42.64,23.31,94239.75,20.26,60.43
2607,42.66,23.319,95146.13,18.26,61.7
3836,42.702,23.371,94931.33,17.28,92.75
3428,42.624,23.406,93835.14,25.7,57.65
1850,42.677,23.311,95018.57,19.45,58.67
2292,42.663,23.273,94683.95,21.85,57.15
3296,42.671,23.325,94341.23,32.1,31.6
2323,42.686,23.4,94986.64,29.79,17.83
4558,42.706,23.38,95829.82,23.42,51.01
3472,42.669,23.318,93674.45,20.66,66.8
3642,42.694,23.36,95065.95,21.33,70.85
2294,42.645,23.265,93175.73,20.64,54.45
1764,42.622,23.366,93832.05,22.25,58.48
2294,42.645,23.265,92451.06,24.68,52.65
2232,42.685,23.301,95342.61,21.89,55.19
1850,42.677,23.311,94691.07,22.55,45.24
3968,42.689,23.357,94655.23,22.06,51.81
3968,42.689,23.357,95379.92,20.74,62.56
1764,42.622,23.366,94197.52,24.11,67.68
3438,42.738,23.293,95464.63,24.59,50.01
3428,42.624,23.406,94517.98,32.35,33.74
2294,42.645,23.265,92993.23,17.87,71.35
3096,42.7,23.36,94891.74,36.19,27.66
3432,42.71,23.419,96091.7,21.56,74.31
2232,42.685,23.301,94436.52,19.75,52.54
1962,42.69,23.324,94870.18,24.76,54.4
2323,42.686,23.4,95705.14,27.14,33.6
2230,42.692,23.332,95021.05,29.72,40.24
3432,42.71,23.419,95757.0,18.01,85.21
3428,42.624,23.406,95001.89,18.57,73.65
2264,42.671,23.31,94662.44,30.42,37.68
3438,42.738,23.293,95634.71,26.64,51.66
2230,42.692,23.332,95323.42,31.88,42.08
2323,42.686,23.4,94421.02,20.31,78.39
